[18:05:18] [MAIN] Target: getscreen.exe -> svchost.exe | PID: 7360
[18:05:18] [MAIN] Shared memory created
[18:05:18] [THREAD] Injection thread started
[18:05:18] [MAIN] DLL path: C:\Users\Stranger\Desktop\ProcessHider\DLL_Injector\ProcessHider.dll
[18:19:23] [+] Injected PID 10912 (WMIC.exe)
[18:19:32] [+] Injected PID 17320 (docker.exe)
[18:19:43] [+] Injected PID 11892 (StoreDesktopExtension.exe)
[18:19:48] [+] Injected PID 17464 (backgroundTaskHost.exe)
[18:19:48] [+] Injected PID 17100 (StoreDesktopExtension.exe)
[18:19:55] [+] Injected PID 20052 (backgroundTaskHost.exe)
[18:20:00] [+] Injected PID 16880 (backgroundTaskHost.exe)
[18:20:05] [+] Injected PID 10800 (Video.UI.exe)
[18:20:05] [+] Injected PID 6224 (RuntimeBroker.exe)
[18:20:05] [+] Injected PID 1636 (RuntimeBroker.exe)
[18:20:05] [+] Injected PID 10760 (RuntimeBroker.exe)
[18:20:06] [+] Injected PID 7468 (svchost.exe)
[18:20:06] [+] Injected PID 20352 (RuntimeBroker.exe)
[18:20:06] [+] Injected PID 16632 (RuntimeBroker.exe)
[18:20:07] [+] Injected PID 19748 (BridgeCommunication.exe)
[18:20:23] [+] Injected PID 14668 (docker.exe)
[18:20:33] [+] Injected PID 16996 (WMIC.exe)
[18:21:13] [+] Injected PID 15728 (WMIC.exe)
[18:21:33] [+] Injected PID 15504 (WMIC.exe)
[18:21:43] [+] Injected PID 15112 (WMIC.exe)
[18:22:09] [+] Injected PID 13352 (docker.exe)
[18:22:13] [+] Injected PID 19644 (WMIC.exe)
[18:22:43] [+] Injected PID 4784 (WMIC.exe)
[18:23:08] [+] Injected PID 13000 (taskhostw.exe)
[18:23:09] [+] Injected PID 7424 (TrustedInstaller.exe)
[18:23:10] [+] Injected PID 12044 (MoUsoCoreWorker.exe)
[18:23:14] [+] Injected PID 3844 (svchost.exe)
[18:23:14] [+] Injected PID 15180 (smartscreen.exe)
[18:23:23] [+] Injected PID 6648 (WMIC.exe)
[18:23:33] [+] Injected PID 14656 (WMIC.exe)
[18:23:33] [+] Injected PID 13352 (conhost.exe)
[18:23:35] [+] Injected PID 12940 (SearchProtocolHost.exe)
[18:23:43] [+] Injected PID 10680 (WMIC.exe)
[18:23:53] [+] Injected PID 15484 (WMIC.exe)
[18:24:01] [+] Injected PID 5764 (RuntimeBroker.exe)
[18:24:02] [+] Injected PID 20356 (RuntimeBroker.exe)
[18:24:25] [+] Injected PID 16932 (docker.exe)
[18:24:29] [+] Injected PID 9556 (docker.exe)
[18:24:33] [+] Injected PID 10624 (WMIC.exe)
[18:24:43] [+] Injected PID 11584 (docker.exe)
[18:25:03] [+] Injected PID 19416 (WMIC.exe)
[18:25:33] [+] Injected PID 18664 (WMIC.exe)
[18:26:17] [+] Injected PID 14476 (docker.exe)
[18:26:23] [+] Injected PID 11108 (WMIC.exe)
[18:26:35] [+] Injected PID 15964 (SearchProtocolHost.exe)
[18:26:53] [+] Injected PID 10036 (WMIC.exe)
[18:27:12] [+] Injected PID 14508 (docker.exe)
[18:27:19] [+] Injected PID 10292 (svchost.exe)
[18:27:19] [+] Injected PID 19892 (WerFault.exe)
[18:27:19] [+] Injected PID 13056 (RuntimeBroker.exe)
[18:27:19] [+] Injected PID 16544 (RuntimeBroker.exe)
[18:27:36] [+] Injected PID 2604 (docker.exe)
[18:27:43] [+] Injected PID 19996 (WMIC.exe)
[18:28:03] [+] Injected PID 16620 (WMIC.exe)
[18:28:43] [+] Injected PID 8888 (WMIC.exe)
[18:29:03] [+] Injected PID 9256 (WMIC.exe)
[18:29:23] [+] Injected PID 6072 (WMIC.exe)
[18:29:27] [+] Injected PID 7868 (SearchProtocolHost.exe)
[18:29:49] [+] Injected PID 17048 (BridgeCommunication.exe)
[18:29:50] [+] Injected PID 18272 (BridgeCommunication.exe)
[18:30:23] [+] Injected PID 20400 (WMIC.exe)
[18:30:33] [+] Injected PID 14080 (WMIC.exe)
[18:30:43] [+] Injected PID 6880 (WMIC.exe)
[18:30:43] [+] Injected PID 13924 (conhost.exe)
[18:30:47] [+] Injected PID 14920 (docker.exe)
[18:31:03] [+] Injected PID 3824 (WMIC.exe)
[18:31:23] [+] Injected PID 18712 (WMIC.exe)
[18:32:03] [+] Injected PID 1424 (WMIC.exe)
[18:32:14] [+] Injected PID 19992 (WMIC.exe)
[18:32:14] [+] Injected PID 19668 (conhost.exe)
[18:32:15] [+] Injected PID 18492 (svchost.exe)
[18:32:18] [+] Injected PID 18248 (WmiApSrv.exe)
[18:32:23] [+] Injected PID 19292 (WMIC.exe)
[18:32:37] [+] Injected PID 10088 (SearchProtocolHost.exe)
[18:33:13] [+] Injected PID 13084 (WMIC.exe)
[18:33:33] [+] Injected PID 1704 (WMIC.exe)
[18:33:54] [+] Injected PID 8888 (WMIC.exe)
[18:34:03] [+] Injected PID 14488 (WMIC.exe)
[18:34:23] [+] Injected PID 20064 (WMIC.exe)
[18:34:33] [+] Injected PID 12208 (WMIC.exe)
[18:34:37] [+] Injected PID 19244 (taskhostw.exe)
[18:34:37] [+] Injected PID 5448 (RuntimeBroker.exe)
[18:34:37] [+] Injected PID 7720 (SearchProtocolHost.exe)
[18:34:52] [+] Injected PID 13584 (backgroundTaskHost.exe)
[18:34:52] [+] Injected PID 17204 (RuntimeBroker.exe)
[18:34:52] [+] Injected PID 10384 (LocationNotificationWindows.exe)
[18:34:58] [+] Injected PID 19340 (backgroundTaskHost.exe)
